name,foot,team2023-12-02,image,positionMisterFantasy,shortNamePosition,groupPosition,age,shirtNumber,marketValueReal,marketValueMisterFantasy_2023-12-02,nationality,fluctuationValue_2023-12-02,average_2023-12-02,scorePlayer_2023-12-02,points_antepenultimate_match_2023-12-02,game_played_2023-12-02,minutes_played_2023-12-02,goals_2023-12-02,assists_2023-12-02,assists_without_goal_2023-12-02,balls_into_area_2023-12-02,clearances_2023-12-02,dribbles_2023-12-02,kicks_to_goal_2023-12-02,recovered_balls_2023-12-02,possession_loss_2023-12-02,penaltis_failed_2023-12-02,goals_against_2023-12-02,red_cards_2023-12-02,ball_stop_2023-12-02,penalties_made_2023-12-02,yellow_cards_2023-12-02,second_yellow_card_match_2023-12-02,penalties_caused_2023-12-02,penalties_stopped_2023-12-02,own_goals_2023-12-02,team2024-05-28,marketValueMisterFantasy_2024-05-28,fluctuationValue_2024-05-28,average_2024-05-28,scorePlayer_2024-05-28,points_antepenultimate_match_2024-05-28,game_played_2024-05-28,minutes_played_2024-05-28,goals_2024-05-28,assists_2024-05-28,assists_without_goal_2024-05-28,balls_into_area_2024-05-28,clearances_2024-05-28,dribbles_2024-05-28,kicks_to_goal_2024-05-28,recovered_balls_2024-05-28,possession_loss_2024-05-28,penaltis_failed_2024-05-28,goals_against_2024-05-28,red_cards_2024-05-28,ball_stop_2024-05-28,penalties_made_2024-05-28,yellow_cards_2024-05-28,second_yellow_card_match_2024-05-28,penalties_caused_2024-05-28,penalties_stopped_2024-05-28,own_goals_2024-05-28
A. Griezmann,izquierdo,Atlético Madrid,https://img.a.transfermarkt.technology/portrait/medium/125781-1694505401.jpg?lm=1,-1.0,DEL,Delantero,32.0,7.0,25000000.0,22.871.000,Francia,UP,"8,4",109.0,3,13.0,1071.0,9.0,1.0,3.0,16.0,6.0,14.0,14.0,46.0,164.0,0.0,11.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Bellingham,derecho,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/581678-1693987944.jpg?lm=1,-1.0,MCO,Centrocampista,20.0,5.0,150000000.0,22.427.000,Inglaterra,UP,"11,5",138.0,7,13.0,1025.0,11.0,2.0,1.0,1.0,6.0,24.0,18.0,59.0,136.0,0.0,8.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Lewandowski,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/38253-1701118759.jpg?lm=1,-1.0,DEL,Delantero,35.0,9.0,30000000.0,21.226.000,Polonia,DOWN,"5,8",69.0,0,12.0,927.0,7.0,3.0,2.0,1.0,4.0,6.0,16.0,17.0,121.0,0.0,10.0,0.0,0.0,0.0,3.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Kubo,izquierdo,Real Sociedad,https://img.a.transfermarkt.technology/portrait/medium/405398-1697110254.jpg?lm=1,-1.0,ED,Delantero,22.0,14.0,50000000.0,19.999.000,Japón,DOWN,"8,1",105.0,7,14.0,970.0,5.0,2.0,7.0,14.0,1.0,16.0,10.0,52.0,162.0,0.0,12.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Garcia,ambidiestro,Rayo Vallecano,https://img.a.transfermarkt.technology/portrait/medium/257062-1481727100.jpg?lm=1,-1.0,EI,Delantero,31.0,18.0,6000000.0,9.693.000,España,UP,"5,8",75.0,3,13.0,1120.0,4.0,1.0,3.0,11.0,10.0,4.0,6.0,50.0,155.0,0.0,16.0,0.0,0.0,0.0,5.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Junior,derecho,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/371998-1664869583.jpg?lm=1,-1.0,EI,Delantero,23.0,7.0,150000000.0,18.850.000,Brasil,DOWN,"5,4",54.0,5,10.0,709.0,4.0,1.0,3.0,0.0,0.0,29.0,8.0,19.0,158.0,0.0,3.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Aspas,izquierdo,RC Celta,https://img.a.transfermarkt.technology/portrait/medium/72047-1653042948.jpg?lm=1,-1.0,DEL,Delantero,36.0,10.0,5000000.0,17.925.000,España,UP,"5,1",71.0,7,14.0,1087.0,1.0,4.0,9.0,27.0,3.0,13.0,13.0,40.0,176.0,2.0,17.0,0.0,0.0,0.0,4.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Valverde,derecho,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/369081-1681999815.jpg?lm=1,-1.0,MC,Centrocampista,25.0,15.0,100000000.0,17.838.000,Uruguay,UP,"5,6",78.0,6,14.0,1118.0,1.0,2.0,4.0,2.0,9.0,12.0,7.0,85.0,119.0,0.0,6.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. Moreno,izquierdo,Villarreal CF,https://img.a.transfermarkt.technology/portrait/medium/177467-1601538911.jpg?lm=1,-1.0,DEL,Delantero,31.0,7.0,15000000.0,17.633.000,España,UP,"7,6",91.0,12,10.0,448.0,0.0,1.0,1.0,5.0,13.0,2.0,0.0,28.0,53.0,0.0,6.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isco,derecho,Real Betis,https://img.a.transfermarkt.technology/portrait/medium/85288-1699613327.jpg?lm=1,-1.0,MCO,Centrocampista,31.0,22.0,8000000.0,17.151.000,España,UP,"7,4",104.0,7,14.0,1144.0,2.0,2.0,7.0,33.0,2.0,28.0,15.0,68.0,245.0,0.0,15.0,0.0,0.0,0.0,4.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Williams,derecho,Athletic,https://img.a.transfermarkt.technology/portrait/medium/255508-1671999121.png?lm=1,-1.0,ED,Delantero,29.0,9.0,25000000.0,16.567.000,Ghana,UP,"7,3",102.0,12,15.0,1233.0,6.0,3.0,6.0,12.0,13.0,21.0,22.0,70.0,235.0,0.0,16.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrygo,derecho,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/412363-1693988167.jpg?lm=1,-1.0,ED,Delantero,22.0,11.0,100000000.0,16.297.000,Brasil,UP,"5,8",81.0,3,14.0,969.0,5.0,4.0,2.0,7.0,1.0,28.0,16.0,36.0,129.0,1.0,9.0,0.0,0.0,0.0,0.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedri,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/683840-1620304992.jpg?lm=1,-1.0,MC,Centrocampista,21.0,8.0,100000000.0,16.006.000,España,UP,"5,4",27.0,4,5.0,358.0,1.0,0.0,4.0,2.0,1.0,7.0,3.0,18.0,58.0,0.0,2.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Mendez,izquierdo,Real Sociedad,https://img.a.transfermarkt.technology/portrait/medium/309110-1665057568.jpg?lm=1,-1.0,MCO,Centrocampista,26.0,23.0,30000000.0,15.879.000,España,DOWN,"6,5",85.0,5,13.0,1085.0,2.0,3.0,4.0,11.0,6.0,12.0,9.0,65.0,169.0,0.0,16.0,0.0,0.0,0.0,5.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Morata,derecho,Atlético Madrid,https://img.a.transfermarkt.technology/portrait/medium/128223-1694193236.jpg?lm=1,-1.0,DEL,Delantero,31.0,19.0,20000000.0,15.877.000,España,DOWN,"6,3",76.0,9,12.0,903.0,7.0,1.0,1.0,1.0,13.0,6.0,15.0,24.0,81.0,0.0,8.0,0.0,0.0,0.0,1.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Gundogan,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/53622-1689683568.jpg?lm=1,-1.0,MC,Centrocampista,33.0,22.0,20000000.0,15.849.000,Alemania,UP,"4,8",67.0,5,13.0,1047.0,1.0,3.0,5.0,18.0,5.0,11.0,4.0,77.0,153.0,0.0,13.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
